Beginning log for ZERA_ (71d6c242-d0b0-30b9-9635-bce9cb6764aa)
Hack: Speed (1002/1025)
Timing: Instant
Date: 01:00:22 PM CEST - 08/16/2019
Time elapsed: 1.96 minutes
Hack Score: 1.8220988208206006

Total amount of checks
Flight#1: 1
GhostHand#1: 1
Timer#2: 5
Scaffold#3: 6
Speed#3: 162

Flagged Speed#3     | VL: 593 (+6) TPS: 20.0 [3.21 seconds]
Flagged Speed#3     | VL: 599 (+6) TPS: 20.0 [3.16 seconds]
Flagged Speed#3     | VL: 605 (+6) TPS: 20.0 [3.11 seconds]
Flagged Speed#3     | VL: 611 (+6) TPS: 20.0 [3.06 seconds]
Flagged Speed#3     | VL: 617 (+6) TPS: 20.0 [3.01 seconds]
Flagged Speed#3     | VL: 623 (+6) TPS: 20.0 [2.96 seconds]
Flagged Speed#3     | VL: 629 (+6) TPS: 20.0 [2.91 seconds]
Flagged Speed#3     | VL: 635 (+7) TPS: 20.0 [2.86 seconds]
Flagged Speed#3     | VL: 642 (+7) TPS: 20.0 [2.81 seconds]
Flagged Speed#3     | VL: 649 (+7) TPS: 20.0 [2.76 seconds]
Flagged Speed#3     | VL: 656 (+7) TPS: 20.0 [2.71 seconds]
Flagged Speed#3     | VL: 663 (+7) TPS: 20.0 [2.66 seconds]
Flagged Speed#3     | VL: 670 (+7) TPS: 20.0 [2.61 seconds]
Flagged Speed#3     | VL: 677 (+7) TPS: 20.0 [2.56 seconds]
Flagged Speed#3     | VL: 684 (+7) TPS: 20.0 [2.51 seconds]
Flagged Speed#3     | VL: 691 (+7) TPS: 20.0 [2.45 seconds]
Flagged Speed#3     | VL: 698 (+7) TPS: 20.0 [2.40 seconds]
Flagged Speed#3     | VL: 705 (+6) TPS: 20.0 [2.35 seconds]
Flagged Speed#3     | VL: 711 (+6) TPS: 20.0 [2.30 seconds]
Flagged Speed#3     | VL: 717 (+7) TPS: 20.0 [2.25 seconds]
Flagged Speed#3     | VL: 724 (+7) TPS: 20.0 [2.20 seconds]
Flagged Speed#3     | VL: 731 (+7) TPS: 20.0 [2.15 seconds]
Flagged Speed#3     | VL: 738 (+7) TPS: 20.0 [2.10 seconds]
Flagged Speed#3     | VL: 745 (+7) TPS: 20.0 [2.05 seconds]
Flagged Speed#3     | VL: 752 (+7) TPS: 20.0 [2.00 seconds]
Flagged Speed#3     | VL: 759 (+7) TPS: 20.0 [1.95 seconds]
Flagged Speed#3     | VL: 766 (+7) TPS: 20.0 [1.9 seconds]
Flagged Speed#3     | VL: 773 (+6) TPS: 20.0 [1.85 seconds]
Flagged Speed#3     | VL: 779 (+6) TPS: 20.0 [1.80 seconds]
Flagged Speed#3     | VL: 785 (+6) TPS: 20.0 [1.75 seconds]
Flagged Speed#3     | VL: 791 (+6) TPS: 20.0 [1.70 seconds]
Flagged Speed#3     | VL: 797 (+6) TPS: 20.0 [1.65 seconds]
Flagged Speed#3     | VL: 802 (+6) TPS: 20.0 [1.60 seconds]
Flagged Speed#3     | VL: 808 (+6) TPS: 20.0 [1.55 seconds]
Flagged Speed#3     | VL: 814 (+6) TPS: 20.0 [1.50 seconds]
Flagged Speed#3     | VL: 820 (+6) TPS: 20.0 [1.45 seconds]
Flagged Speed#3     | VL: 826 (+6) TPS: 20.0 [1.40 seconds]
Flagged Speed#3     | VL: 832 (+5) TPS: 20.0 [1.35 seconds]
Flagged Speed#3     | VL: 837 (+5) TPS: 20.0 [1.30 seconds]
Flagged Speed#3     | VL: 842 (+5) TPS: 20.0 [1.25 seconds]
Flagged Speed#3     | VL: 847 (+5) TPS: 20.0 [1.20 seconds]
Flagged Speed#3     | VL: 852 (+5) TPS: 20.0 [1.15 seconds]
Flagged Speed#3     | VL: 857 (+5) TPS: 20.0 [1.10 seconds]
Flagged Speed#3     | VL: 862 (+5) TPS: 20.0 [1.05 seconds]
Flagged Speed#3     | VL: 867 (+6) TPS: 20.0 [1.00 seconds]
Flagged Speed#3     | VL: 873 (+6) TPS: 20.0 [953 ms]
Flagged Speed#3     | VL: 879 (+6) TPS: 20.0 [902 ms]
Flagged Speed#3     | VL: 885 (+6) TPS: 20.0 [852 ms]
Flagged Speed#3     | VL: 891 (+6) TPS: 20.0 [801 ms]
Flagged Speed#3     | VL: 897 (+6) TPS: 20.0 [751 ms]
Flagged Speed#3     | VL: 903 (+6) TPS: 20.0 [701 ms]
Flagged Speed#3     | VL: 909 (+6) TPS: 20.0 [651 ms]
Flagged Speed#3     | VL: 915 (+6) TPS: 20.0 [601 ms]
Flagged Speed#3     | VL: 921 (+6) TPS: 20.0 [551 ms]
Flagged Speed#3     | VL: 927 (+6) TPS: 20.0 [501 ms]
Flagged Speed#3     | VL: 933 (+6) TPS: 20.0 [451 ms]
Flagged Speed#3     | VL: 939 (+7) TPS: 20.0 [401 ms]
Flagged Speed#3     | VL: 946 (+7) TPS: 20.0 [351 ms]
Flagged Speed#3     | VL: 953 (+7) TPS: 20.0 [301 ms]
Flagged Speed#3     | VL: 960 (+7) TPS: 20.0 [242 ms]
Flagged Speed#3     | VL: 967 (+7) TPS: 20.0 [201 ms]
Flagged Speed#3     | VL: 974 (+7) TPS: 20.0 [151 ms]
Flagged Speed#3     | VL: 981 (+7) TPS: 20.0 [101 ms]
Flagged Speed#3     | VL: 988 (+7) TPS: 20.0 [51 ms]
Flagged Speed#3     | VL: 995 (+7) TPS: 20.0 [1 millisecond]

Banning ZERA_ for Speed (VL: 1002)
